序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
0,接收,10:30:02.872.0,0x00000211,标准帧,数据帧,0x08,16 4A 13 01 E3 03 6F C1 ,
1,接收,10:30:02.872.0,0x00000212,标准帧,数据帧,0x08,00 00 70 00 00 00 00 70 ,
2,接收,10:30:02.872.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 88 A0 ,
3,接收,10:30:02.872.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 70 66 ,
4,接收,10:30:02.872.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 18 00 64 ,
5,接收,10:30:02.872.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 08 08 ,
6,接收,10:30:02.872.0,0x00000211,标准帧,数据帧,0x08,16 4A 12 01 E3 03 70 DF ,
7,接收,10:30:02.872.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0B 00 C8 E7 ,
8,接收,10:30:02.872.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 18 19 ,
9,接收,10:30:02.872.0,0x00000402,标准帧,数据帧,0x08,20 3D C5 04 0B 04 0D A7 ,
10,接收,10:30:02.872.0,0x00000212,标准帧,数据帧,0x08,00 00 71 00 00 00 00 71 ,
11,接收,10:30:02.887.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 89 A1 ,
12,接收,10:30:02.887.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 71 67 ,
13,接收,10:30:02.887.0,0x00000215,标准帧,数据帧,0x08,69 64 14 02 9D 04 3F 3F ,
14,接收,10:30:02.887.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
15,接收,10:30:02.887.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 09 09 ,
16,接收,10:30:02.887.0,0x00000211,标准帧,数据帧,0x08,16 4A 18 01 E3 03 71 D4 ,
17,接收,10:30:02.887.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
18,接收,10:30:02.887.0,0x00000241,标准帧,数据帧,0x08,42 10 42 00 10 02 08 00 ,
19,接收,10:30:02.887.0,0x00000212,标准帧,数据帧,0x08,00 00 72 00 00 00 00 72 ,
20,接收,10:30:02.887.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8A A2 ,
21,接收,10:30:02.887.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 72 64 ,
22,接收,10:30:02.887.0,0x00000216,标准帧,数据帧,0x08,0E 01 00 00 00 00 FF FF ,
23,接收,10:30:02.887.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
24,接收,10:30:02.887.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
25,接收,10:30:02.887.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 19 00 28 ,
26,接收,10:30:02.887.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0A 0A ,
27,接收,10:30:02.887.0,0x00000211,标准帧,数据帧,0x08,16 4A 1C 01 E3 03 72 D3 ,
28,接收,10:30:02.887.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0B 00 C8 E7 ,
29,接收,10:30:02.903.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 19 18 ,
30,接收,10:30:02.903.0,0x00000402,标准帧,数据帧,0x08,20 3D C6 04 0B 04 0D A8 ,
31,接收,10:30:02.903.0,0x00000212,标准帧,数据帧,0x08,00 00 73 00 00 00 00 73 ,
32,接收,10:30:02.903.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8B A3 ,
33,接收,10:30:02.903.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 73 65 ,
34,接收,10:30:02.903.0,0x00000281,标准帧,数据帧,0x08,75 02 3A 01 00 00 00 00 ,
35,接收,10:30:02.903.0,0x00000217,标准帧,数据帧,0x08,09 00 00 00 00 00 92 00 ,
36,接收,10:30:02.903.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0B 0B ,
37,接收,10:30:02.903.0,0x00000211,标准帧,数据帧,0x08,16 4A 1C 01 E3 03 73 D2 ,
38,接收,10:30:02.903.0,0x00000212,标准帧,数据帧,0x08,00 00 74 00 00 00 00 74 ,
39,接收,10:30:02.903.0,0x00000401,标准帧,数据帧,0x08,20 80 00 04 0D 55 00 FC ,
40,接收,10:30:02.903.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8C A4 ,
41,接收,10:30:02.919.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 74 62 ,
42,接收,10:30:02.919.0,0x00000218,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
43,接收,10:30:02.919.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
44,接收,10:30:02.919.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0C 0C ,
45,接收,10:30:02.919.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1A 00 FC ,
46,接收,10:30:02.919.0,0x00000211,标准帧,数据帧,0x08,16 4A 1F 01 E3 03 74 D6 ,
47,接收,10:30:02.919.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0A 00 C8 E6 ,
48,接收,10:30:02.919.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1A 1B ,
49,接收,10:30:02.919.0,0x00000402,标准帧,数据帧,0x08,20 3D C7 04 0A 04 0D A9 ,
50,接收,10:30:02.919.0,0x00000212,标准帧,数据帧,0x08,00 00 75 00 00 00 00 75 ,
51,接收,10:30:02.919.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8D A5 ,
52,接收,10:30:02.919.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 75 63 ,
53,接收,10:30:02.919.0,0x00000219,标准帧,数据帧,0x08,01 02 EF 0C ED 0C EF 0C ,
54,接收,10:30:02.919.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0D 0D ,
55,接收,10:30:02.919.0,0x00000211,标准帧,数据帧,0x08,16 4A 24 01 E3 03 75 EC ,
56,接收,10:30:02.919.0,0x00000212,标准帧,数据帧,0x08,00 00 76 00 00 00 00 76 ,
57,接收,10:30:02.935.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8E A6 ,
58,接收,10:30:02.935.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 76 60 ,
59,接收,10:30:02.935.0,0x00000220,标准帧,数据帧,0x08,01 02 3F 00 FF 00 FF 00 ,
60,接收,10:30:02.935.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
61,接收,10:30:02.935.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
62,接收,10:30:02.935.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1B 00 B0 ,
63,接收,10:30:02.935.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0E 0E ,
64,接收,10:30:02.935.0,0x00000211,标准帧,数据帧,0x08,16 4A 28 01 E3 03 76 E3 ,
65,接收,10:30:02.935.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 0A 00 C8 E6 ,
66,接收,10:30:02.935.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1B 1A ,
67,接收,10:30:02.935.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
68,接收,10:30:02.935.0,0x00000245,标准帧,数据帧,0x08,20 05 00 00 00 00 00 00 ,
69,接收,10:30:02.935.0,0x00000402,标准帧,数据帧,0x08,20 3D C8 04 0A 04 0D AA ,
70,接收,10:30:02.935.0,0x00000212,标准帧,数据帧,0x08,00 00 77 00 00 00 00 77 ,
71,接收,10:30:02.935.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 8F A7 ,
72,接收,10:30:02.935.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 77 61 ,
73,接收,10:30:02.950.0,0x00000221,标准帧,数据帧,0x08,01 01 0F 04 14 02 00 00 ,
74,接收,10:30:02.950.0,0x00000240,标准帧,数据帧,0x08,00 00 01 09 00 00 08 00 ,
75,接收,10:30:02.950.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 0F 0F ,
76,接收,10:30:02.950.0,0x00000211,标准帧,数据帧,0x08,16 4A 25 01 E3 03 77 EF ,
77,接收,10:30:02.950.0,0x00000212,标准帧,数据帧,0x08,00 00 78 00 00 00 00 78 ,
78,接收,10:30:02.950.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 80 A8 ,
79,接收,10:30:02.950.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 78 6E ,
80,接收,10:30:02.950.0,0x00000281,标准帧,数据帧,0x08,99 02 3A 01 00 00 00 00 ,
81,接收,10:30:02.950.0,0x00000222,标准帧,数据帧,0x08,00 00 5C 2C 01 05 00 00 ,
82,接收,10:30:02.950.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1C 00 49 ,
83,接收,10:30:02.950.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
84,接收,10:30:02.950.0,0x00000211,标准帧,数据帧,0x08,16 4A 1C 01 E3 03 78 D9 ,
85,接收,10:30:02.950.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 09 00 C8 E5 ,
86,接收,10:30:02.950.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1C 1D ,
87,接收,10:30:02.950.0,0x00000402,标准帧,数据帧,0x08,20 3D C9 04 09 04 0C AB ,
88,接收,10:30:02.950.0,0x00000212,标准帧,数据帧,0x08,00 00 79 00 00 00 00 79 ,
89,接收,10:30:02.965.0,0x00000401,标准帧,数据帧,0x08,20 84 00 04 0C 55 00 F9 ,
90,接收,10:30:02.965.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 81 A9 ,
91,接收,10:30:02.965.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 79 6F ,
92,接收,10:30:02.965.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 01 01 ,
93,接收,10:30:02.965.0,0x00000211,标准帧,数据帧,0x08,16 4A 18 01 E3 03 79 DC ,
94,接收,10:30:02.965.0,0x00000212,标准帧,数据帧,0x08,00 00 7A 00 00 00 00 7A ,
95,接收,10:30:02.965.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 82 AA ,
96,接收,10:30:02.965.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7A 6C ,
97,接收,10:30:02.981.0,0x00000243,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
98,接收,10:30:02.981.0,0x00000244,标准帧,数据帧,0x08,00 10 20 08 10 00 00 00 ,
99,接收,10:30:02.981.0,0x00000210,标准帧,数据帧,0x08,02 01 0F 00 00 1D 00 05 ,
100,接收,10:30:02.981.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 02 02 ,
101,接收,10:30:02.981.0,0x00000211,标准帧,数据帧,0x08,16 4A 1D 01 E3 03 7A DA ,
102,接收,10:30:02.981.0,0x00000241,标准帧,数据帧,0x08,42 10 42 00 10 02 08 00 ,
103,接收,10:30:02.981.0,0x00000469,标准帧,数据帧,0x08,20 00 00 04 09 00 C8 E5 ,
104,接收,10:30:02.981.0,0x00000154,标准帧,数据帧,0x08,01 00 00 00 00 00 1D 1C ,
105,接收,10:30:02.981.0,0x00000402,标准帧,数据帧,0x08,20 3D CA 04 09 04 0C AC ,
106,接收,10:30:02.981.0,0x00000212,标准帧,数据帧,0x08,00 00 7B 00 00 00 00 7B ,
107,接收,10:30:02.981.0,0x00000142,标准帧,数据帧,0x08,00 00 00 00 00 28 83 AB ,
108,接收,10:30:02.981.0,0x00000213,标准帧,数据帧,0x08,00 00 00 59 4E 01 7B 6D ,
109,接收,10:30:02.981.0,0x00000242,标准帧,数据帧,0x08,AA 02 00 00 00 00 00 00 ,
110,接收,10:30:02.981.0,0x00000143,标准帧,数据帧,0x08,00 00 00 00 00 00 03 03 ,
